match_code,player_code,player_name,role,team,perc_selection,expected_team_count,actual_team_count,actual_perc_selection,perc_error
10001,1,Player_20,WK,A,39.57,7914,12060,60.3,52.39
10001,2,Player_2,WK,A,21.31,4262,8908,44.54,109.01
10001,3,Player_7,Allrounder,B,91.91,18382,16548,82.74,-9.98
10001,4,Player_12,Allrounder,A,95.22,19044,17043,85.22,-10.51
10001,5,Player_10,Allrounder,A,21.45,4290,5604,28.02,30.63
10001,6,Player_8,Allrounder,A,56.82,11364,11143,55.72,-1.94
10001,7,Player_22,Allrounder,B,89.19,17838,16137,80.68,-9.54
10001,8,Player_11,Allrounder,B,27.09,5418,6482,32.41,19.64
10001,9,Player_21,Batsman,A,69.35,13870,13106,65.53,-5.51
10001,10,Player_3,Batsman,A,2.83,566,2839,14.19,401.59
10001,11,Player_18,Batsman,B,49.5,9900,9974,49.87,0.75
10001,12,Player_4,Batsman,B,65.9,13180,12559,62.8,-4.71
10001,13,Player_9,Batsman,A,36.18,7236,7898,39.49,9.15
10001,14,Player_14,Batsman,A,25.36,5072,6210,31.05,22.44
10001,15,Player_17,Batsman,B,93.6,18720,16797,83.98,-10.27
10001,16,Player_19,Batsman,B,35.18,7036,7743,38.71,10.05
10001,17,Player_1,Bowler,B,66.34,13268,12677,63.39,-4.45
10001,18,Player_13,Bowler,A,10.68,2136,3987,19.93,86.66
10001,19,Player_5,Bowler,B,83.48,16696,15352,76.76,-8.05
10001,20,Player_16,Bowler,B,30.6,6120,7059,35.3,15.34
10001,21,Player_6,Bowler,B,3.3,660,2905,14.52,340.15
10001,22,Player_15,Bowler,A,30.03,6006,6969,34.84,16.03
